x,y
-0.958831,1.082578

0.04878054,1.0003152
-0.116939,-0.5390393
-0.19829717,-0.35603678
-0.30348906,0.7069053
0.16247645,0.6182645
-0.068803966,-0.9620056
-0.30226347,1.6523348
-0.74168116,1.5447139
0.17155117,0.5869058
-0.8364819,2.1389458
-0.887249,1.9993721
0.037676115,0.31288174
-0.7636703,0.70811325
-0.89663655,2.6648703
-0.41357845,1.9457115
0.2578857,-0.07228721
0.25511616,-0.9441318
-0.32476965,1.3239717
-0.55280834,0.6786158
0.040615402,0.18010506
0.82185435,-1.830944
0.49087894,-1.0565102
-0.46151355,1.3417612
0.2554161,-0.12877873
-0.3240097,0.5672861
-0.4400418,1.2670391
0.97992045,-1.0807074
-0.35359412,1.3054894
-0.81942046,1.9255148
0.18482913,0.42689547
-0.8445307,2.126228
0.26620293,-0.32770324
-0.84308726,2.2298818
0.4822413,-0.8959064
-0.9598576,1.3040029
-0.5053038,1.7178855
0.9248946,-1.3257263
-0.54700845,1.0769497
-0.88383275,1.8245764
0.9600651,-1.378589
-0.9534561,1.1432041
0.63092285,0.6208902
0.3199681,-1.5632397
-0.00964618,0.24231248
0.704363,-0.78619474
-0.5424037,0.26515847
0.099057764,1.1656481
-0.823015,1.541107
-0.64597905,0.15053515
0.006272517,0.2945094
0.072192736,0.83714485
-0.08786003,-0.6102789
-0.6942817,0.61230016
-0.79775465,1.7676023
-0.83730245,2.3149
0.55026567,-0.60781646
0.90012395,-2.390216
-0.20366262,0.4978697
-0.5136556,0.9636136
0.6648853,-0.8875181
0.8493872,-2.0403736
0.5012295,-0.7274074
-0.63753384,0.12232808
-0.2645684,0.7606004
0.5102745,-0.32924467
0.06422697,0.8040706
-0.76047575,1.2686136
0.62580204,0.008760888
-0.45318586,1.5130615
0.065234534,0.5260865
0.3818755,-2.187094
-0.75872827,0.9563116
0.97200215,-1.4228054
0.5831581,0.738118
0.07154937,0.8615707
0.92723995,-1.2030939
-0.07464043,-0.7445297
0.22290847,0.34106734
0.41371468,-1.392878
0.61624074,-0.3176268
-0.80111724,1.8372571
0.07479121,1.0856698
-0.1621491,-1.1919186
0.34314638,-1.9220026
0.10381368,0.8400848
0.5419344,-0.2714297
0.9398197,-1.1215522
-0.97399616,0.5179559
0.8186408,-1.4931355
-0.931223,2.3984542
-0.504538,0.97635925
-0.62696296,0.6363391
-0.9185424,1.332088
0.6612388,0.024290413
-0.633191,-0.016040698
0.19731697,0.16305548
0.21154964,-0.466652
0.87230957,-2.518325
-0.9772927,1.0790272
0.93860507,-2.0114255
-0.20542541,0.026487494
0.5528259,-0.38928348
-0.81265044,1.6408167
0.72944474,-0.8607547
-0.06267872,-1.0466633
-0.8848825,2.4561198
0.90973055,-1.7898303
0.53797483,-0.65607387
0.41614515,-1.4174037
0.7060189,-0.909671
-0.41571072,1.5042852
0.7544011,-0.84922606
-0.021094479,-0.40565684
0.45801434,-1.5202787
-0.55605567,0.28011632
0.7533072,-1.0048734
0.29992786,-1.3883452
-0.8508987,2.4424539
0.80831736,-1.6982042
0.059301157,0.7983873
0.6202268,0.62666684
-0.67863727,-0.077160485
0.24061911,-0.77307034
-0.43845528,0.9843834
0.7744255,-1.1906172
0.011777358,-0.41007385
-0.6268599,0.076460384
-0.14578442,-0.18434264
0.63319886,-0.22190249
0.18166652,-0.0057689426
0.60734415,0.49127078
0.7840931,-1.0832981
0.84168375,-1.4835895
-0.28780654,0.81800723
-0.60803425,0.3826901
-0.6368046,0.2791879
0.022684798,0.280699
-0.6871259,0.94699514
0.42669916,-1.9007586
-0.430319,1.5315933
-0.17631817,-0.5398066
-0.05207672,0.36786655
0.18255088,0.13978209
0.08544888,0.8555727
-0.8612774,1.6769443
-0.2810177,0.88842046
-0.9266336,1.8769606
-0.35408705,1.403018
-0.01115939,0.25027257
-0.12205716,-0.44370276
-0.8588625,1.8447511
-0.14912713,-0.11292207
0.036659304,0.527981
-0.20691444,-0.36782664
-0.93714166,1.747693
-0.25871572,0.854831
-0.088686496,-1.0648713
0.5988208,-0.03973112
0.868734,-2.3651066
0.39330164,-1.1596962
0.18178588,0.26275527
-0.7249581,1.3874818
0.45218268,-0.8875106
-0.05305646,-1.024985
-0.63614374,0.33405852
-0.056847624,-0.6545667
-0.5967454,-0.32232276
-0.9783247,1.2404441
-0.99073595,1.3459442
0.36846605,-1.323333
-0.6512672,-0.19911955
0.8566371,-1.7527846
-0.23221755,0.29366466
-0.58733255,0.020773917
0.73101425,-0.9083261
-0.77873653,2.0230064
0.9713009,-1.5972273
0.08528927,0.691395
0.23625648,-0.42017165
0.049512863,0.62361515
0.7214612,-0.8433995
0.32039475,-1.4936874
0.11360253,0.8872413
0.32504457,-1.872945
0.7397927,-1.3463761
0.52323925,-0.19917107
-0.6532528,0.0805462
-0.96682435,1.5518959
-0.39151552,1.5108368
-0.16351393,-0.7945092
0.09342056,0.9174422
-0.9605789,1.253079
0.58805037,0.5171493
-0.94726604,1.4172485
-0.58130133,0.006368617
0.2587973,-1.2031211
-0.8120361,2.0577314
-0.43244818,1.7240771
-0.32194042,1.6835074
0.52491736,-0.67032874
0.83971125,-1.7868713
0.62759006,0.46892786
-0.25338137,0.5564206
-0.19847389,-0.22154045
-0.4835112,1.1093112
0.8922309,-2.1492918
0.26705942,-0.92108685
-0.105175264,-0.3333748
-0.71021026,0.3595458
-0.8778441,2.5651467
-0.785656,2.055348
0.6341441,-0.25404453
0.7877852,-1.3459187
0.7961086,-1.2057624
0.20223002,-0.37612355
0.5771944,-0.75344545
-0.39077246,1.8451833
-0.15155599,-0.087125264
-0.36615598,1.7622209
0.27485982,-0.6358915
-0.8395325,1.8345114
0.56730604,-0.5199033
-0.03095403,-0.38280618
-0.6259125,0.11143163
-0.8261594,1.0120548
-0.71983194,0.8960088
-0.9213757,1.9053674
-0.56835794,-0.0427728
0.26367444,-0.7467494
0.8165318,-1.7294626
0.5204557,-1.1433345
0.8642366,-2.271324
0.040327,0.41669133
0.900823,-2.364824
0.0053580464,0.19040781
0.21912867,-0.4424052
0.07421308,0.9821597
-0.64722604,-0.32978654
-0.50808454,0.82544154
-0.25077477,0.43509516
0.16673753,0.4230493
0.47579384,-1.344187
0.6344444,-0.19185066
-0.77989614,1.8252589
0.13977937,0.27747092
0.006834542,0.2598895
-0.39824337,1.6160758
-0.8685827,2.2072036
0.7942205,-1.2057351
0.010504745,0.43132982
-0.35529232,2.0502217
-0.7703264,1.4971892
-0.2019946,-0.8248653
0.6984468,-0.35505167
-0.35584167,1.5319203
-0.32960552,1.4224524
-0.2042888,-0.70804584
-0.33300164,1.1345452
0.23650955,-0.2712468
-0.33018878,1.4774204
0.113525786,0.5932653
-0.43593085,1.3973585
0.2879991,-1.5585712
0.06692218,1.522334
-0.014964612,-0.1800312
0.6197489,0.24799804
-0.7759222,0.92454845
-0.6534114,-0.1503044
0.5783425,0.20208782
-0.36137274,1.8753979
-0.18253165,-0.5760346
0.8804605,-2.2686322
0.14012234,0.6757516
0.4949419,-0.76188296
0.023354884,-0.18079914
-0.24883409,-0.08675589
0.6897506,-0.33763248
0.4701421,-1.324859
-0.46959525,1.5842553
-0.5897207,0.035972837
-0.21510978,0.2969011
-0.9136802,2.1569495
-0.909392,1.9612983
-0.6747661,0.081272
-0.24543168,0.30072352
-0.52363443,0.6326279
0.19077003,0.46693492
0.9696824,-1.1556848
0.4965194,-1.3734986
0.7535313,-1.4212433
0.78105456,-1.4649769
-0.69665027,0.69756114
-0.73196954,0.14931367
-0.82930064,2.5092857
0.04613085,0.35872257
-0.012408807,-0.057796117
-0.97091067,1.3645167
0.8809172,-2.4328976
0.7247274,-0.37457493
-0.35264152,2.0778277
-0.76494753,1.0281707
0.12187594,0.21272445
0.16678359,1.1407994
-0.7970569,1.655274
-0.25596383,0.47936633
-0.14201194,-0.67789537
-0.5030217,1.2922139
0.4929828,-0.40211272
-0.6879627,0.16438141
-0.577104,0.0018690141
-0.15173866,-0.37166852
0.25580078,-0.18763024
-0.121730186,-0.815992
-0.07598839,-0.58607733
0.5896226,-0.26708508
0.7805276,-1.1305501
0.62893695,0.33837926
-0.4269175,1.569385
0.34503692,-1.5262976
-0.17920634,-0.4847057
-0.17476465,-0.38298413
-0.6362398,-0.3612909
0.9487896,-2.201047
-0.27274078,0.79494894
0.657475,-0.41328704
0.93975765,-1.5389693
0.35820463,-1.2315317
-0.9860957,1.0312395
0.43194446,-1.4352627
0.18826143,0.09473647
-0.43813097,1.2921635
-0.6363501,0.099026054
0.3442711,-1.7971894
-0.7559235,1.2438759
-0.44523764,1.6298513
-0.43629044,1.3344909
0.11040162,1.1292192
0.4878926,-0.7755941
-0.3492006,1.691008
0.17245966,-0.12870768
-0.41370454,1.7934316
-0.41281632,2.1485176
-0.83172005,1.9951524
0.26461166,-0.5282855
-0.19303426,0.014349885
-0.6726881,-0.47299576
0.8051058,-2.426164
-0.32679144,1.8608719
-0.85240686,2.081894
0.6929046,-0.25750938
-0.50141555,0.6783635
0.17983538,0.44457743
0.61366946,0.14415812
0.90142864,-2.453626
0.26452857,-1.2502517
-0.54149723,0.37915632
0.9078572,-1.7354925
-0.5753218,0.74258745
0.3919484,-1.6319298
-0.6621299,0.46253976
-0.6451209,0.7804124
0.8264811,-2.4090044
-0.35843986,2.1908796
-0.9738111,1.5271004
0.6604397,-0.42000455
0.1871849,0.49501824
-0.8904767,2.0270598
0.16862862,0.58393687
-0.5378504,-0.10309582
